"Brand","File","DesignSystemDetailsUrl"
"airbnb","design-airbnb.md","https://getdesign.md/airbnb/design-md"
"airtable","design-airtable.md","https://getdesign.md/airtable/design-md"
"apple","design-apple.md","https://getdesign.md/apple/design-md"
"binance","design-binance.md","https://getdesign.md/binance/design-md"
"bmw","design-bmw.md","https://getdesign.md/bmw/design-md"
"bmw-m","design-bmw-m.md","https://getdesign.md/bmw-m/design-md"
"bugatti","design-bugatti.md","https://getdesign.md/bugatti/design-md"
"cal","design-cal.md","https://getdesign.md/cal/design-md"
"claude","design-claude.md","https://getdesign.md/claude/design-md"
"clay","design-clay.md","https://getdesign.md/clay/design-md"
"clickhouse","design-clickhouse.md","https://getdesign.md/clickhouse/design-md"
"cohere","design-cohere.md","https://getdesign.md/cohere/design-md"
"coinbase","design-coinbase.md","https://getdesign.md/coinbase/design-md"
"composio","design-composio.md","https://getdesign.md/composio/design-md"
"cursor","design-cursor.md","https://getdesign.md/cursor/design-md"
"elevenlabs","design-elevenlabs.md","https://getdesign.md/elevenlabs/design-md"
"expo","design-expo.md","https://getdesign.md/expo/design-md"
"ferrari","design-ferrari.md","https://getdesign.md/ferrari/design-md"
"figma","design-figma.md","https://getdesign.md/figma/design-md"
"framer","design-framer.md","https://getdesign.md/framer/design-md"
"hashicorp","design-hashicorp.md","https://getdesign.md/hashicorp/design-md"
"ibm","design-ibm.md","https://getdesign.md/ibm/design-md"
"intercom","design-intercom.md","https://getdesign.md/intercom/design-md"
"kraken","design-kraken.md","https://getdesign.md/kraken/design-md"
"lamborghini","design-lamborghini.md","https://getdesign.md/lamborghini/design-md"
"linear.app","design-linear.app.md","https://getdesign.md/linear.app/design-md"
"lovable","design-lovable.md","https://getdesign.md/lovable/design-md"
"mastercard","design-mastercard.md","https://getdesign.md/mastercard/design-md"
"meta","design-meta.md","https://getdesign.md/meta/design-md"
"minimax","design-minimax.md","https://getdesign.md/minimax/design-md"
"mintlify","design-mintlify.md","https://getdesign.md/mintlify/design-md"
"miro","design-miro.md","https://getdesign.md/miro/design-md"
"mistral.ai","design-mistral.ai.md","https://getdesign.md/mistral.ai/design-md"
"mongodb","design-mongodb.md","https://getdesign.md/mongodb/design-md"
"nike","design-nike.md","https://getdesign.md/nike/design-md"
"notion","design-notion.md","https://getdesign.md/notion/design-md"
"nvidia","design-nvidia.md","https://getdesign.md/nvidia/design-md"
"ollama","design-ollama.md","https://getdesign.md/ollama/design-md"
"opencode.ai","design-opencode.ai.md","https://getdesign.md/opencode.ai/design-md"
"pinterest","design-pinterest.md","https://getdesign.md/pinterest/design-md"
"playstation","design-playstation.md","https://getdesign.md/playstation/design-md"
"posthog","design-posthog.md","https://getdesign.md/posthog/design-md"
"raycast","design-raycast.md","https://getdesign.md/raycast/design-md"
"renault","design-renault.md","https://getdesign.md/renault/design-md"
"replicate","design-replicate.md","https://getdesign.md/replicate/design-md"
"resend","design-resend.md","https://getdesign.md/resend/design-md"
"revolut","design-revolut.md","https://getdesign.md/revolut/design-md"
"runwayml","design-runwayml.md","https://getdesign.md/runwayml/design-md"
"sanity","design-sanity.md","https://getdesign.md/sanity/design-md"
"sentry","design-sentry.md","https://getdesign.md/sentry/design-md"
"shopify","design-shopify.md","https://getdesign.md/shopify/design-md"
"slack","design-slack.md","https://getdesign.md/slack/design-md"
"spacex","design-spacex.md","https://getdesign.md/spacex/design-md"
"spotify","design-spotify.md","https://getdesign.md/spotify/design-md"
"starbucks","design-starbucks.md","https://getdesign.md/starbucks/design-md"
"stripe","design-stripe.md","https://getdesign.md/stripe/design-md"
"supabase","design-supabase.md","https://getdesign.md/supabase/design-md"
"superhuman","design-superhuman.md","https://getdesign.md/superhuman/design-md"
"tesla","design-tesla.md","https://getdesign.md/tesla/design-md"
"theverge","design-theverge.md","https://getdesign.md/theverge/design-md"
"together.ai","design-together.ai.md","https://getdesign.md/together.ai/design-md"
"uber","design-uber.md","https://getdesign.md/uber/design-md"
"vercel","design-vercel.md","https://getdesign.md/vercel/design-md"
"vodafone","design-vodafone.md","https://getdesign.md/vodafone/design-md"
"voltagent","design-voltagent.md","https://getdesign.md/voltagent/design-md"
"warp","design-warp.md","https://getdesign.md/warp/design-md"
"webflow","design-webflow.md","https://getdesign.md/webflow/design-md"
"wired","design-wired.md","https://getdesign.md/wired/design-md"
"wise","design-wise.md","https://getdesign.md/wise/design-md"
"x.ai","design-x.ai.md","https://getdesign.md/x.ai/design-md"
"zapier","design-zapier.md","https://getdesign.md/zapier/design-md"
